UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
São Paulo,Sudeste,2009,218199,507298,1204115051,2801954862,,
Paraná,Sul,2009,78975,149166,436395966,824492342,,
Santa Catarina,Sul,2009,28112,44933,155271696,248191330,,
Rio Grande do Sul,Sul,2009,72911,132617,402073816,731734021,,
Mato Grosso do Sul,Centro Oeste,2009,22608,58427,124904761,322912348,,
Mato Grosso,Centro Oeste,2009,32094,68580,177238900,378794394,,
Goiás,Centro Oeste,2009,51887,111226,286667559,614536532,,
Distrito Federal,Centro Oeste,2009,17979,35434,99085896,195517023,,
Rondônia,Norte,2010,20509,806031,84218868,201945164,,
Acre,Norte,2010,12308,491091,31034055,103136566,,
Amazonas,Norte,2010,41908,1664699,192557318,432451518,,
Roraíma,Norte,2010,5585,222837,15774966,48453647,,
Pará,Norte,2010,83712,3266827,450952934,924119924,,
Amapá,Norte,2010,8731,338645,55615893,104274302,,
Tocantins,Norte,2010,17785,694736,93139014,193790214,,
Maranhão,Nordeste,2010,84742,3251312,510492819,984335541,,
Piauí,Nordeste,2010,32231,1274402,95487471,283768191,,
Ceará,Nordeste,2010,107147,4185148,408840023,1026150337,,
Rio Grande do Norte,Nordeste,2010,37991,1525822,98880547,321771366,,
Paraíba,Nordeste,2010,51020,2030848,166199191,462678256,,
Pernambuco,Nordeste,2010,141387,5560760,591136760,1401694783,,
Alagoas,Nordeste,2010,61485,2409308,199300606,555956688,,
Sergipe,Nordeste,2010,27372,1082626,79958904,239383575,,
Bahia,Nordeste,2010,175274,6835275,933887557,1923768212,,
Minas Gerais,Sudeste,2010,190128,7520121,873328156,1957841509,,
Espírito Santo,Sudeste,2010,27450,1073661,136866669,292493056,,
Rio de Janeiro,Sudeste,2010,93905,3438690,873923591,1372846211,,
São Paulo,Sudeste,2010,265195,10121124,1887096955,3344862047,,
Paraná,Sul,2010,91705,3600817,455478915,976666488,,
Santa Catarina,Sul,2010,32232,1273635,111176121,297943594,,
Rio Grande do Sul,Sul,2010,86902,3373956,384304513,880006418,,
Mato Grosso do Sul,Centro Oeste,2010,28564,1059860,228700791,383226847,,
Mato Grosso,Centro Oeste,2010,36733,1441654,230397139,435244472,,
Goiás,Centro Oeste,2010,61594,2368526,378524316,721960688,,
Distrito Federal,Centro Oeste,2010,20953,810138,115504832,233263412,,
Rondônia,Norte,2011,20853,35043,92598743,228448885,,
Acre,Norte,2011,12852,18371,35983876,119478960,,
Amazonas,Norte,2011,41684,75635,221657648,493720614,,
Roraíma,Norte,2011,5896,8671,18033156,56313932,,
Pará,Norte,2011,84228,161339,503330115,1053096192,,
Amapá,Norte,2011,8545,18143,62629646,118345062,,
Tocantins,Norte,2011,17821,33591,102895015,219081713,,
Maranhão,Nordeste,2011,83785,170322,564912416,1111458831,,
Piauí,Nordeste,2011,33627,50640,110972461,330312172,,
Ceará,Nordeste,2011,110782,182145,465419931,1187184530,,
Rio Grande do Norte,Nordeste,2011,39129,56705,114568543,369270028,,
Paraíba,Nordeste,2011,52318,81146,187904462,528578439,,
Pernambuco,Nordeste,2011,142970,243749,656967070,1587434400,,
Alagoas,Nordeste,2011,64093,98200,221813669,638443544,,
Sergipe,Nordeste,2011,28800,42454,88930033,276085093,,
Bahia,Nordeste,2011,175486,335890,1046291278,2190164140,,
Minas Gerais,Sudeste,2011,189062,336807,963301639,2194265994,,
Espírito Santo,Sudeste,2011,27386,51113,154699875,332951933,,
Rio de Janeiro,Sudeste,2011,90540,240290,976743619,1566690562,,
São Paulo,Sudeste,2011,258504,582993,2116681842,3799643334,,
Paraná,Sul,2011,91162,168977,507796904,1102282705,,
Santa Catarina,Sul,2011,33938,53283,126073542,347128163,,
Rio Grande do Sul,Sul,2011,88999,154880,429223951,1008130997,,
Mato Grosso do Sul,Centro Oeste,2011,28255,66723,250947398,435166979,,
Mato Grosso,Centro Oeste,2011,35699,74210,251121832,483796550,,
Goiás,Centro Oeste,2011,60643,124099,413909629,809418856,,
Distrito Federal,Centro Oeste,2011,21045,41149,131096370,267946215,,
Rondônia,Norte,2012,11061,18339,108785209,274163092,,
Acre,Norte,2012,22213,36798,43126029,144547366,,
Amazonas,Norte,2012,13720,19536,269998776,597902141,,
Roraíma,Norte,2012,43960,80143,21854852,68542700,,
Pará,Norte,2012,6359,9332,592683073,1264846682,,
Amapá,Norte,2012,90114,169558,73859826,141907200,,
Tocantins,Norte,2012,9133,19037,118251053,258831762,,
Maranhão,Nordeste,2012,18868,34731,650239991,1309292185,,
Piauí,Nordeste,2012,88398,175544,136434521,407183871,,
Ceará,Nordeste,2012,36322,54622,564161372,1456779514,,
Rio Grande do Norte,Nordeste,2012,119870,195558,140609164,452411825,,
Paraíba,Nordeste,2012,41913,60786,225030765,639393145,,
Pernambuco,Nordeste,2012,55688,85894,776622863,1900710091,,
Alagoas,Nordeste,2012,151115,255332,253241184,755768350,,
